,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
194,48,847.4176206000266,[ 0.10694444 -0.36736111],12,1,"[1, 25, 12, 18]",14,0
195,48,848.0094819000224,[-0.39861111 -0.33125   ],1,0,"[1, 25, 12, 18]",14,0
196,49,856.0657313000411,[ 0.42222222 -0.38402778],21,3,"[7, 15, 26, 21]",13,0
197,49,860.8895769000519,[-0.50833333 -0.30694444],7,0,"[7, 15, 26, 21]",13,0
198,49,861.2734224000014,[-0.24513889 -0.31111111],15,0,"[7, 15, 26, 21]",13,0
199,49,861.6893626000383,[ 0.18263889 -0.32916667],26,0,"[7, 15, 26, 21]",13,0
200,50,866.84150520002,[-0.47083333 -0.30972222],21,0,"[21, 2, 0, 6]",10,0
201,50,874.8975514000049,[ 0.51527778 -0.36875   ],6,2,"[21, 2, 0, 6]",10,0
202,50,875.4657830000506,[-0.12986111 -0.34097222],2,0,"[21, 2, 0, 6]",10,0
203,50,875.8173435000353,[ 0.12361111 -0.33194444],0,0,"[21, 2, 0, 6]",10,0
204,51,882.4255781000247,[ 0.43472222 -0.38194444],11,3,"[7, 25, 15, 11]",19,0
205,51,890.8656406000373,[-0.20694444 -0.33611111],25,1,"[7, 25, 15, 11]",19,0
206,51,891.6576182999997,[ 0.06944444 -0.34027778],15,1,"[7, 25, 15, 11]",19,0
207,51,892.2895203000517,[-0.49722222 -0.31597222],7,0,"[7, 25, 15, 11]",19,0
208,52,902.2496307000401,[ 0.07986111 -0.35347222],6,2,"[21, 15, 6, 17]",5,0
209,52,904.6896968000219,[-0.42430556 -0.32430556],21,0,"[21, 15, 6, 17]",5,0
210,52,908.1296017999994,[ 0.44305556 -0.35555556],17,1,"[21, 15, 6, 17]",5,0
211,52,909.1775040000211,[-0.10277778 -0.32083333],15,0,"[21, 15, 6, 17]",5,0
212,53,922.0737122000428,[-0.05069444 -0.33888889],22,1,"[26, 22, 23, 13]",12,0
213,53,927.4415888000512,[ 0.19166667 -0.34513889],23,1,"[26, 22, 23, 13]",12,0
214,53,928.7935482000466,[-0.44027778 -0.32013889],26,0,"[26, 22, 23, 13]",12,0
215,53,930.3615313000046,[ 0.45069444 -0.32361111],13,0,"[26, 22, 23, 13]",12,0
216,54,935.945681400015,[ 0.59583333 -0.35277778],22,3,"[4, 29, 27, 22]",16,0
217,54,944.0975067000254,[-0.16805556 -0.32430556],29,1,"[4, 29, 27, 22]",16,0
218,54,944.6974346000352,[-0.47569444 -0.32152778],4,0,"[4, 29, 27, 22]",16,0
219,54,945.3294338000123,[ 0.13819444 -0.32291667],27,0,"[4, 29, 27, 22]",16,0
220,55,954.5136116000358,[-0.42986111 -0.33194444],7,0,"[7, 5, 29, 12]",26,0
221,55,955.7055180000025,[ 0.08958333 -0.36111111],29,1,"[7, 5, 29, 12]",26,0
222,55,956.1293901000172,[ 0.44444444 -0.34236111],12,1,"[7, 5, 29, 12]",26,0
223,55,956.6493558000075,[-0.1625     -0.33680556],5,0,"[7, 5, 29, 12]",26,0
224,56,963.0815676000202,[-0.30208333 -0.32083333],24,1,"[12, 24, 4, 28]",23,0
225,56,969.7534670000314,[ 0.4        -0.37638889],28,2,"[12, 24, 4, 28]",23,0
226,56,970.121402800025,[ 0.26805556 -0.37430556],4,1,"[12, 24, 4, 28]",23,0
227,56,971.209481500031,[-0.42777778 -0.33472222],12,0,"[12, 24, 4, 28]",23,0
228,57,982.5694545000442,[-0.49652778 -0.34097222],19,0,"[19, 27, 20, 4]",28,0
229,57,986.6494459000533,[ 0.56527778 -0.32916667],4,2,"[19, 27, 20, 4]",28,0
230,57,987.2417795000365,[-0.06458333 -0.32361111],27,0,"[19, 27, 20, 4]",28,0
231,57,987.5534270000062,[ 0.17152778 -0.32083333],20,0,"[19, 27, 20, 4]",28,0
232,58,996.1614610000397,[-0.45347222 -0.30694444],19,0,"[19, 27, 20, 8]",2,0
233,58,1000.2415489000268,[-0.07222222 -0.34166667],27,0,"[19, 27, 20, 8]",2,0
234,58,1000.8814316000207,[ 0.59583333 -0.34097222],8,1,"[19, 27, 20, 8]",2,0
235,58,1002.2174512000056,[ 0.24236111 -0.34444444],20,0,"[19, 27, 20, 8]",2,0
236,59,1011.8735436000279,[ 0.06527778 -0.34444444],21,2,"[15, 19, 21, 6]",18,0
237,59,1012.4014418000006,[-0.13125    -0.34166667],19,1,"[15, 19, 21, 6]",18,0
238,59,1017.2496389000444,[-0.44027778 -0.31805556],15,0,"[15, 19, 21, 6]",18,0
239,59,1018.5535231000395,[ 0.41041667 -0.32847222],6,0,"[15, 19, 21, 6]",18,0
240,60,1033.2974971000222,[-0.24513889 -0.31736111],17,1,"[10, 17, 1, 28]",6,1
241,60,1038.481485700002,[ 0.51041667 -0.3625    ],28,2,"[10, 17, 1, 28]",6,1
242,60,1042.025464300008,[ 0.15694444 -0.35833333],1,1,"[10, 17, 1, 28]",6,1
243,60,1042.7293718000292,[-0.49027778 -0.31736111],10,0,"[10, 17, 1, 28]",6,1
244,61,1052.857526900014,[-0.52638889 -0.33888889],7,0,"[7, 25, 17, 28]",13,1
245,61,1055.5855887000216,[ 0.12222222 -0.35972222],17,1,"[7, 25, 17, 28]",13,1
246,61,1059.6895011000452,[ 0.41736111 -0.37777778],28,1,"[7, 25, 17, 28]",13,1
247,61,1060.5693544000387,[-0.12430556 -0.35      ],25,0,"[7, 25, 17, 28]",13,1
248,62,1068.0893916000496,[-0.53263889 -0.30833333],17,0,"[17, 23, 26, 29]",16,1
249,62,1071.7294540000148,[ 0.49305556 -0.39583333],29,2,"[17, 23, 26, 29]",16,1
250,62,1072.289441800036,[-0.15902778 -0.34930556],23,0,"[17, 23, 26, 29]",16,1
251,62,1072.6897323000012,[ 0.23958333 -0.34861111],26,0,"[17, 23, 26, 29]",16,1
252,63,1081.905617100012,[-0.19305556 -0.32152778],21,1,"[14, 21, 23, 27]",18,1
253,63,1090.0813879000489,[-0.44236111 -0.31597222],14,0,"[14, 21, 23, 27]",18,1
254,63,1090.7453378000064,[ 0.07916667 -0.32083333],23,0,"[14, 21, 23, 27]",18,1
255,63,1091.1054204000393,[ 0.46875    -0.32291667],27,0,"[14, 21, 23, 27]",18,1
256,64,1102.289530500013,[-0.09027778 -0.31597222],8,1,"[21, 8, 28, 14]",23,1
257,64,1107.5295245000161,[ 0.48194444 -0.31041667],14,2,"[21, 8, 28, 14]",23,1
258,64,1108.033306600002,[-0.42013889 -0.29861111],21,0,"[21, 8, 28, 14]",23,1
259,64,1108.4012585000019,[ 0.16388889 -0.29375   ],28,0,"[21, 8, 28, 14]",23,1
260,65,1112.1855610000202,[-0.45486111 -0.30694444],21,0,"[21, 27, 28, 11]",24,1
261,65,1115.8655124000506,[ 0.24236111 -0.36527778],28,1,"[21, 27, 28, 11]",24,1
262,65,1118.0495532000205,[ 0.44652778 -0.35763889],11,1,"[21, 27, 28, 11]",24,1
263,65,1118.569349700003,[-0.17847222 -0.34583333],27,0,"[21, 27, 28, 11]",24,1
264,66,1127.8096938000526,[-0.49097222 -0.33611111],0,0,"[0, 13, 15, 3]",7,1
265,66,1135.7136396000278,[ 0.13263889 -0.37152778],15,1,"[0, 13, 15, 3]",7,1
266,66,1138.2975488000084,[-0.07708333 -0.37013889],13,0,"[0, 13, 15, 3]",7,1
267,66,1138.977467800025,[ 0.48472222 -0.37152778],3,0,"[0, 13, 15, 3]",7,1
268,67,1155.3134313000483,[-0.4125     -0.35069444],23,0,"[23, 0, 11, 29]",5,1
269,67,1157.3854481000453,[ 0.42916667 -0.37430556],29,2,"[23, 0, 11, 29]",5,1
270,67,1158.5775648000417,[-0.08888889 -0.36666667],0,0,"[23, 0, 11, 29]",5,1
271,67,1159.0493798000389,[ 0.11944444 -0.35763889],11,0,"[23, 0, 11, 29]",5,1
272,68,1163.961596100009,[-0.13819444 -0.35277778],11,1,"[12, 11, 14, 22]",3,1
273,68,1167.9214492000174,[ 0.50347222 -0.35763889],22,2,"[12, 11, 14, 22]",3,1
274,68,1169.2333113000495,[ 0.21875    -0.35069444],14,1,"[12, 11, 14, 22]",3,1
